Date : 2021-06-23 22:17:38
Directory : /home/arjun/repos/nxtp
Total : 76 files,  5407 codes, 505 comments, 751 blanks, all 6663 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |         35 |      2,804 |        305 |        507 |      3,616 |
| JSON       |         22 |      1,750 |         10 |         17 |      1,777 |
| Solidity   |         11 |        644 |        190 |        166 |      1,000 |
| Markdown   |          4 |         93 |          0 |         53 |        146 |
| YAML       |          2 |         43 |          0 |          2 |         45 |
| graphql    |          1 |         38 |          0 |          5 |         43 |
| JavaScript |          1 |         35 |          0 |          1 |         36 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                            |         76 |      5,407 |        505 |        751 |      6,663 |
| modules                                                                                                      |         68 |      5,243 |        492 |        719 |      6,454 |
| modules/chainservice                                                                                         |          8 |        427 |         78 |         62 |        567 |
| modules/chainservice/src                                                                                     |          4 |        316 |         78 |         41 |        435 |
| modules/contracts                                                                                            |         24 |      2,313 |        216 |        333 |      2,862 |
| modules/contracts/contracts                                                                                  |         11 |        644 |        190 |        166 |      1,000 |
| modules/contracts/contracts/interfaces                                                                       |          2 |         88 |         43 |         24 |        155 |
| modules/contracts/contracts/lib                                                                              |          4 |        228 |         30 |         35 |        293 |
| modules/contracts/contracts/test                                                                             |          4 |        141 |         22 |         47 |        210 |
| modules/contracts/deploy                                                                                     |          1 |         20 |          0 |          5 |         25 |
| modules/contracts/deployments                                                                                |          2 |        887 |          0 |          0 |        887 |
| modules/contracts/deployments/goerli                                                                         |          2 |        887 |          0 |          0 |        887 |
| modules/contracts/deployments/goerli/solcInputs                                                              |          1 |         68 |          0 |          0 |         68 |
| modules/contracts/scripts                                                                                    |          1 |         12 |          0 |          4 |         16 |
